ID	SEX	MUMID	TWIN	BIRTHYEAR	DEADAGE	DEADAGE.m	Jaw	Leg
2660	1	8274	NA	22	1	NA	113.17	79.26
157	2	487	NA	20	1	NA	116.68	NA
4347	1	2780	NA	5	6	NA	115.05	71.45
3756	2	6027	0	29	0	11	106	NA
669	2	1274	NA	2	3	NA	122.59	88.35
6994	1	8703	NA	4	9	NA	122.72	80.72
2037	2	1949	0	24	0	11	102.81	78.96
3736	1	516	1	15	0	9	96.81	69.89
7443	2	4	1	1	0	9	92.89	67.85
4207	2	5956	0	12	0	9	96.13	72.88
3240	1	4538	NA	19	1	NA	106.05	75.86
4782	2	7287	1	9	0	11	101.84	72.34
8173	2	3364	0	16	0	12	111.47	76.1
2966	1	3914	NA	5	12	NA	122.25	80.42
7101	2	8004	0	15	0	11	105.49	75.42
8188	2	2196	0	24	0	10	93.2	68.65
6045	2	901	NA	22	1	NA	115.2	80.87
3426	2	1143	0	9	0	12	107.5	79.59
4470	2	6132	0	24	0	10	100.8	76.5
5434	1	2186	1	27	0	12	91.34	62.15
6115	2	8021	0	13	0	12	104.78	77.1
6840	1	7892	NA	25	2	NA	117.1	88.34
3837	1	5220	NA	4	2	NA	123.1	84.46
1204	2	6215	1	16	0	9	100.67	73.53
2675	2	5585	NA	20	1	NA	117.41	NA
6786	1	8407	NA	9	4	NA	118.32	77.39
1456	1	149	NA	26	8	NA	124.21	80.46
8690	2	8145	NA	8	6	NA	130.2	87.56
6663	1	3227	0	8	0	11	88.75	58.31
4383	1	4256	0	12	0	11	96.98	68.5
3992	2	7536	0	19	0	11	95.43	71.5
4538	1	2279	NA	26	8	NA	120.01	80.9
9006	2	8102	0	1	0	10	92.54	66.8
6185	2	995	NA	22	1	NA	112.7	80.98
7098	2	125	0	12	0	9	91.33	64.03
5550	1	2982	NA	23	8	NA	122.1	84.1
8111	1	5879	NA	23	5	NA	122.39	77.14
4688	2	2317	1	9	0	11	103.13	77.39
1013	1	6937	NA	7	1	NA	109.2	75.7
1601	2	442	0	11	0	11	103.33	74.02
5921	1	7613	NA	20	1	NA	110.73	NA
6008	2	6946	0	18	0	9	103.22	75.59
6919	2	7499	NA	3	4	NA	124.1	80.84
7822	2	4735	0	12	0	10	95.08	66.17
5001	1	255	NA	26	1	NA	105.55	73.32
3381	2	2255	NA	9	4	NA	126.99	78.33
6217	2	7519	NA	7	1	NA	112.75	77.85
2420	2	6325	NA	15	2	NA	112.92	79.79
6475	1	4034	0	9	0	8	93.07	66.84
5177	1	1037	1	9	0	12	97.99	70.32
3708	2	3785	1	9	0	10	97.65	69.5
503	1	2843	NA	3	11	NA	127.5	81.6
2963	1	6300	NA	25	5	NA	125.66	74.14
4961	1	5084	0	12	0	12	98.82	73.33
5250	2	2982	NA	5	6	NA	121.54	77.87
3293	2	5108	NA	7	1	NA	110.7	82.3
4332	2	7596	NA	2	6	NA	130.4	85.25
3633	1	4482	1	16	0	12	94.33	67.3
2515	1	7842	NA	5	11	NA	125.06	80.42
1304	2	7075	0	29	0	10	93.34	NA
1490	2	6503	0	8	0	11	107.08	75.17
6548	1	3958	NA	14	2	NA	110.5	78.7
1999	2	8037	0	12	0	9	95.76	71.99
8337	2	7221	0	16	0	11	106.9	73.19
1962	1	2682	NA	3	1	NA	108.38	NA
5453	2	2665	0	29	0	10	102.7	NA
8065	1	2899	1	24	0	11	96.5	69.8
2938	2	4101	1	19	0	11	96.24	68.2
348	2	7268	NA	27	1	NA	111.04	77.29
6625	1	4807	0	15	0	12	98.3	68.25
7902	2	6340	0	15	0	12	97.03	70.46
2590	1	8732	0	12	0	13	101.28	70.86
4286	1	3592	NA	27	3	NA	117.19	80.04
7205	1	692	1	16	0	12	99.66	75.12
7065	1	3655	0	19	0	10	100.31	71.79
6098	2	2165	NA	2	6	NA	116.6	77
915	2	1743	0	19	0	11	99.54	73.12
5359	1	3476	NA	8	6	NA	122.15	83.8
1778	1	5561	0	29	0	11	102.2	NA
3076	2	4246	0	9	0	12	103.61	78.6
2359	2	4473	0	18	0	12	103.78	77.8
7251	1	1833	NA	27	2	NA	114.8	80.71
7140	1	6161	NA	5	6	NA	116.2	80.21
4285	2	7751	NA	14	2	NA	126.15	NA
7120	1	692	1	16	0	13	106.46	75.69
4956	2	8108	NA	20	7	NA	127.322	80.83
8407	1	8732	NA	26	8	NA	125.1	79.81
