ID	SEX	MUMID	TWIN	CAPAGE	BIRTHYEAR	BIRTHWT
2376	2	6850	0	2	25	2.5
4690	2	7642	1	3	4	1.9
3898	2	2008	0	2	12	3
5057	1	7751	0	2	2	2.4
1864	2	7434	0	1	5	1.6
2561	1	4306	1	2	16	1.5
557	1	5436	1	2	13	1.5
5128	2	7448	1	1	11	1.7
8345	1	1164	0	2	4	2.75
1096	2	8079	1	0	8	1.45
4528	1	3916	0	4	26	1.8
251	1	2899	0	4	12	3.4
4887	1	3137	0	2	16	3.2
5698	1	1696	0	2	27	2.35
5693	1	6215	1	2	2	1.3
2029	1	4124	0	1	12	0.9
476	1	3376	0	1	3	1.8
67	2	2729	0	3	22	2.2
4800	2	37	1	2	18	1.5
6611	1	869	0	0	27	0.5
8417	2	695	0	1	25	1.6
5697	2	2982	0	0	29	2.4
8079	1	1532	0	3	14	1.7
7338	2	1814	0	1	14	2.2
8072	2	795	0	3	6	2.3
3444	2	5110	0	5	27	1.55
2539	2	774	0	5	27	2.5
2815	2	4827	1	1	26	1.4
5148	2	4514	1	4	4	1.3
3215	2	6850	0	1	3	3.2
604	1	8364	0	1	6	1.6
8200	1	6271	1	2	25	1.3
5591	2	37	1	2	18	1.6
6733	2	140	0	3	14	2.4
793	2	218	0	2	4	1.1
5546	2	4827	1	1	26	1.5
6741	1	6621	0	3	21	1.5
3747	1	809	0	3	7	2.6
5095	2	5331	0	2	9	2.15
5920	1	4783	0	2	4	1.8
5451	2	2798	0	1	22	1
4300	2	4167	0	1	8	2.3
809	1	8376	0	3	16	2.2
9053	1	5108	0	2	12	2.4
5307	2	7488	0	3	27	1.7
1325	1	7710	0	2	18	1.9
4663	1	5516	0	0	7	1.1
7934	2	5895	0	1	13	1.55
3686	2	1576	0	2	5	1.5
6973	1	7898	0	4	13	2.5
3096	1	6692	1	4	27	1.4
8215	1	8261	0	2	12	2.8
5641	2	4153	0	3	16	3.2
3050	1	6840	0	2	6	1.4
5040	1	7541	0	4	6	3.3
2952	2	5550	1	4	7	1.5
7910	2	3038	0	1	13	2.5
6170	2	2253	1	1	11	1.8
3369	1	772	0	2	13	2
1117	1	6849	0	2	22	3
6846	1	916	0	5	14	3
4175	2	6768	0	4	4	2.2
6563	2	2654	0	0	20	2.6
8062	2	1805	0	4	23	3.7
3269	2	442	0	1	8	2.35
5732	1	64	0	2	6	1.6
8719	1	4836	0	3	6	3.2
2439	2	1568	0	2	2	1.8
8927	1	8901	1	3	12	1.9
5330	2	7622	0	3	27	1.9
2842	2	4805	0	1	29	1.8
4082	1	8341	0	2	5	1.4
2958	2	3857	1	1	12	1.7
8739	2	3539	0	1	8	2.1
4060	2	3687	0	1	14	2.1
3902	1	9017	0	2	25	1.8
2482	2	8669	0	1	21	2.1
5043	2	8978	0	3	13	2.2
6109	1	6257	0	2	7	2.35
2351	2	7287	1	2	27	1.55
7213	2	2690	0	3	2	2.2
8843	1	503	0	2	5	1.6
4031	1	8108	1	2	23	2.3
3947	1	7421	0	0	29	2.9
8483	2	8971	0	2	20	2.9
