ID	SEX	MUMID	TWIN	CAPAGE	BIRTHYEAR	BIRTHWT
7957	1	229	0	1	13	2
4518	2	6849	1	2	11	1.8
4444	2	6526	0	1	12	2.7
8288	2	5057	0	3	4	2.6
1411	1	1456	0	2	8	1.8
4025	2	5920	1	4	27	2.8
648	1	6441	1	2	9	1.6
7061	1	1858	0	4	10	2.28
8884	1	745	1	3	22	1.6
6610	2	2857	0	0	21	1.9
4973	1	2134	0	2	16	2.3
9050	2	5635	0	1	1	2.5
7728	2	6276	0	3	13	2.3
2689	2	5879	0	1	11	2.7
237	2	5956	0	5	4	2.1
5535	2	4049	0	2	20	1.4
3119	1	8293	1	3	23	2
3727	1	6487	0	1	16	2.4
7790	1	3785	1	1	26	1.7
5851	2	2134	0	2	6	1.5
5282	1	745	1	1	12	1.7
109	2	8669	0	1	6	3
7517	2	6102	0	1	29	2.5
7907	2	1760	0	2	9	2.35
8427	1	1900	0	2	25	2.5
751	1	582	0	4	14	2.3
6477	1	2452	0	1	11	1.9
7049	1	2769	1	2	19	1.55
19	1	5981	1	1	19	1.95
5228	2	8289	0	2	6	2.4
1023	1	52	1	1	12	1.55
6973	1	7898	0	4	13	2.5
976	1	4822	0	2	25	2.4
2502	2	2004	0	0	9	2.65
5997	1	5773	0	2	18	1.7
2817	2	5103	0	1	20	3.2
511	1	5193	0	2	25	2.3
2715	2	1042	0	1	20	2.6
216	1	183	0	3	22	1.7
3995	2	1142	1	1	3	1.9
2769	1	5108	1	2	26	1.8
7034	1	6174	0	3	3	3.1
7751	1	6365	0	5	3	1.7
6530	1	1529	0	0	17	2
6748	2	3948	0	0	29	1.9
777	2	2034	0	2	9	2.25
6448	1	2982	0	2	18	1.6
2789	1	8600	1	2	22	2
8029	1	8738	0	2	26	2.6
1179	1	4783	0	1	14	1
23	2	7424	0	1	16	2.2
6289	1	173	0	1	10	2.3
4020	2	7780	0	1	20	2.3
5553	1	9017	1	1	18	1.5
3565	1	5675	0	3	22	2.7
4123	2	6208	0	2	26	2.6
7478	1	2457	1	2	20	1.3
2562	1	7716	0	1	1	2.05
478	2	27	0	2	22	2.5
8013	1	7564	1	2	6	1.9
6104	2	6306	0	2	10	1.96
8448	2	4167	1	3	13	1.6
8381	2	6487	0	3	22	3
5968	1	1971	1	2	12	1.85
8825	2	9040	0	1	18	1.6
191	1	7816	0	3	6	1.5
3482	1	240	0	0	21	1.5
8015	2	5193	1	3	6	2.9
6304	2	5859	0	1	1	2.3
923	1	552	1	2	23	1.6
2958	2	3857	1	1	12	1.7
2297	2	5314	1	2	11	1.2
8052	1	6132	0	3	7	3
3688	2	3983	0	2	25	2.1
717	1	7638	1	1	2	0.6
4910	2	3149	0	4	19	2.35
8278	1	3879	1	1	27	1.55
8369	2	1622	1	2	20	2.1
4060	2	3687	0	1	14	2.1
1197	1	5565	0	3	19	1.7
5589	2	8913	0	4	4	2.1
4503	2	3637	0	2	27	1.9
790	1	5108	1	0	7	0.95
5396	1	4358	0	1	20	1.6
3850	2	1607	0	1	21	2.7
5808	2	442	0	2	22	1.7
9027	1	125	0	5	27	3.4
2938	2	4101	1	3	19	1.6
2002	2	1607	1	2	23	2.3
6370	1	7596	0	3	22	2.2
401	2	8973	0	4	27	1.95
1952	2	8866	1	2	20	2.3
590	1	7840	0	2	18	1.6
7096	2	5881	1	2	7	2.4
182	2	8376	0	1	18	1.2
6857	2	3432	0	3	22	2.5
3483	1	2635	0	2	26	1.8
193	1	1969	1	1	19	1.85
6860	1	2633	0	2	5	2.1
234	1	7515	0	4	1	1.9
4446	2	4485	1	1	12	2.15
3742	1	1564	0	0	19	0.85
6938	1	1692	1	1	29	1.6
852	2	7312	0	3	10	1.98
5408	1	476	0	0	5	0.8
4022	2	3483	1	2	15	2.15
857	2	8063	0	1	9	2.35
5335	1	5859	0	1	19	1.9
7126	2	2152	0	1	18	1.1
2892	1	3857	1	1	9	0.9
1634	1	2515	0	4	4	1.7
1295	2	7638	1	1	2	0.8
981	1	695	1	3	23	2.2
8410	1	945	0	1	11	1.8
2392	1	844	0	1	6	2.1
2513	2	6516	0	4	16	2.2
5583	1	7663	0	2	26	2
7838	2	901	0	1	2	1.5
1899	1	9023	0	1	7	2.6
4326	2	556	1	2	6	2.1
7580	2	1085	0	1	18	1.2
8592	2	8268	0	3	10	2.42
7378	2	5181	0	2	15	1.9
7431	1	8567	1	2	18	1.6
1647	1	5287	0	2	22	2.7
8362	1	5580	1	0	13	1.3
7536	1	3111	0	3	27	2.9
350	2	5503	1	1	13	2
5065	2	5938	0	1	6	0.9
7623	2	3785	0	2	13	2.55
1108	2	7813	0	1	27	2.35
4129	2	762	1	2	16	1.5
209	2	1375	0	2	23	3
6856	1	2196	0	5	7	1
5894	1	2633	1	3	6	1.6
5037	2	4854	0	4	26	3.3
1872	2	6161	1	3	2	1.5
3203	2	311	0	4	10	1.62
1848	1	3839	0	1	15	2.6
5495	2	263	0	3	4	2.8
430	2	14	0	1	13	2.45
3989	2	552	1	2	23	2.1
4764	1	7584	0	2	23	1.8
9012	1	3356	0	2	27	1.45
6820	2	3592	0	4	15	3.1
5887	2	668	0	1	29	1.9
1123	1	5556	0	1	15	2.3
4381	2	5499	1	5	9	1.65
2342	2	8293	1	2	22	2.6
2201	2	2069	0	4	13	2.7
1072	2	3065	0	2	25	1.8
1904	2	2656	0	5	11	1.4
2780	1	1607	0	1	29	3.2
7251	1	1833	0	2	27	2.25
1476	1	5673	1	2	22	1.5
5149	1	7898	0	1	15	1.95
8636	2	7877	1	3	9	2.1
1126	2	3065	0	1	21	1.2
6879	1	8600	0	2	18	2
6493	1	3655	0	2	15	2.35
1993	1	2700	0	4	23	2.8
789	2	7568	0	2	19	1.4
6932	1	1969	0	5	12	1.45
6211	2	5542	0	5	9	3.15
2234	2	5436	0	2	26	3.1
2441	2	403	0	2	10	1.62
1310	2	6477	0	2	8	1.9
8711	2	3328	0	2	19	2.6
6254	2	3994	1	3	12	2
1796	2	7374	0	2	1	2.9
3740	1	2934	0	0	12	1.45
3912	2	3832	0	2	6	3.2
8324	1	4565	0	4	10	2.44
2075	2	4114	0	0	1	1.9
6805	2	3644	0	1	29	2.1
6703	2	4538	0	3	9	2.6
6665	2	3432	1	3	2	1.4
4840	2	695	1	3	23	2.5
8194	1	1195	0	0	17	2.3
6107	2	7020	0	2	7	2.45
8879	1	4167	1	3	13	1.4
5995	1	3015	0	1	11	2.4
4029	1	5900	0	2	12	3.1
2116	2	8567	0	1	5	2.9
4156	2	552	0	2	25	2.8
7956	1	240	0	2	3	3
1446	2	4935	0	1	12	2.7
1386	1	5921	0	1	29	1
5368	1	1654	0	0	17	2
6547	2	3846	0	1	5	2.2
2704	1	3747	0	4	26	3
4526	2	1539	0	4	15	2
3258	1	582	0	2	11	2.6
6454	1	4000	1	2	6	2.2
324	1	4373	0	2	1	2.1
5	2	4373	0	1	10	0.88
7443	2	4	1	4	1	1.6
2983	2	906	0	0	17	1.3
5655	2	3733	0	4	13	2.8
3511	2	2980	1	1	7	1.5
6171	2	3015	0	2	2	1.4
7481	1	1299	0	4	10	1.9
8072	2	795	0	3	6	2.3
4824	1	745	1	2	7	1.8
1218	1	104	0	1	8	2.4
4105	1	6850	0	1	21	2
3147	2	8526	0	1	14	2.4
2142	2	4192	0	1	23	0.8
2660	1	8274	0	3	22	2.2
8299	1	183	1	2	7	1.9
6164	2	5550	1	4	7	1.4
2702	2	4485	1	1	13	1.7
3534	1	3840	1	5	12	1.6
557	1	5436	1	2	13	1.5
7729	2	8261	1	3	13	1.7
7326	2	5550	0	2	16	2
4551	1	6182	0	1	20	2.6
5580	1	4770	0	4	7	3.1
2555	1	5624	0	3	19	2.3
183	1	331	0	2	2	1.7
2590	1	8732	0	1	12	2.3
7346	2	1472	0	2	7	2.35
5930	2	1568	0	5	14	1.4
507	2	6645	0	5	11	2.1
3699	2	7779	0	1	5	1.4
159	2	5022	0	5	10	2.42
1787	1	5325	0	1	5	1
788	2	8901	1	3	12	2.3
5527	1	339	0	2	3	2.9
3698	1	8970	0	2	7	1.95
2758	1	4807	0	4	10	1.45
1151	1	7287	1	3	19	1.55
4363	2	1860	0	2	12	2.5
5293	1	3846	0	2	25	2.1
4916	2	3832	1	2	23	2.2
315	2	511	0	2	3	2.2
8212	1	2467	1	1	7	1.6
7135	2	4356	0	2	12	2
7817	2	7779	1	3	18	1.4
6094	2	5960	0	1	27	2.65
6278	2	2780	1	4	6	2.2
1901	1	936	0	0	15	0.95
8776	1	3227	0	4	12	1.6
6285	1	3971	0	1	1	2.7
5133	2	6831	0	2	18	2.5
6424	2	3785	1	3	19	1.85
6898	1	2985	1	2	9	1.65
8480	2	7333	0	3	19	3
8172	2	7979	0	2	10	2.8
4628	2	6843	0	1	27	2.45
7363	1	7506	0	2	18	1.9
483	1	7873	0	5	19	2.1
4400	1	2966	0	1	18	1.6
6526	1	9023	0	2	14	2.5
6018	2	2654	0	1	21	2.6
2144	2	2697	0	4	14	1.8
5006	1	4836	0	2	25	1.8
1245	2	7068	0	2	23	3.2
3990	2	7221	0	2	2	2.1
795	1	7613	0	1	29	2.5
1054	1	1656	0	1	29	2
6041	1	3986	1	2	11	1.7
3510	2	8202	0	1	15	2.85
4895	1	14	0	1	9	2.35
5507	1	7664	0	2	27	1.9
7964	2	8030	0	2	15	1.7
5240	1	7510	0	2	4	2.3
3508	2	8848	1	2	6	1.5
1401	2	6477	0	2	4	2
8135	2	5981	0	2	13	3
2730	1	6252	0	4	14	2.1
6577	2	8835	1	0	5	1.3
1096	2	8079	1	0	8	1.45
831	2	8234	1	3	18	1.6
760	2	809	0	0	14	1.5
