id,dam,sire,Sex
1215,,,M
1216,,,M
1217,,,M
1218,,,M
1219,,,M
1220,,,M
1221,,,M
1222,,,F
1223,,,F
1224,,,M
1225,,,M
1226,,,M
1227,,,M
1228,,,M
1229,,,M
1230,,,F
1231,,,F
1232,,,M
1233,,,F
1234,,,M
1235,,,F
1236,,,M
1237,,,F
1238,,,M
1239,,,F
1240,59,,M
1241,59,,F
1242,59,,M
1243,59,,F
1244,59,,F
1245,59,,M
1246,8,,M
1247,8,,F
1248,8,,M
1249,72,,M
1250,72,,F
1251,400,,M
1252,400,,M
1253,400,,M
1254,400,,F
1255,400,,F
1256,400,,F
1257,400,,M
1258,320,,M
1259,320,,M
1260,320,,M
1261,201,,M
1262,201,,F
1263,201,,M
1264,201,,M
1265,201,,F
1266,201,,M
1267,201,,M
1268,201,,M
1269,201,,F
1270,667,,M
1271,667,,M
1272,667,,M
1273,667,,F
1274,666,,F
1275,666,,M
1276,666,,F
1277,666,,M
1278,666,,M
1279,666,,M
1280,666,,M
1281,666,,M
1282,80,,M
1283,80,,M
1284,431,,F
1285,431,,F
1286,431,,F
1287,431,,M
1288,431,,M
1289,431,,M
1290,431,,F
1291,431,,M
1292,431,,M
1293,431,,M
1294,189,,M
1295,775,,M
1296,775,,F
1297,775,,F
1298,775,,F
1299,602,,M
1300,602,,M
1301,602,,F
1302,602,,M
1303,773,,M
1304,773,,F
1305,773,,F
1306,773,,M
1307,771,,F
1308,771,,F
1309,771,,M
1310,771,,F
1311,771,,F
1312,771,,M
1313,771,,M
1314,771,,F
1315,771,,M
1316,765,,F
1317,765,,M
1318,765,,M
1319,756,,M
1320,756,,M
1321,756,,M
1322,756,,F
1323,756,,F
1324,766,,F
1325,766,,F
1326,766,,M
1327,766,,F
1328,702,,F
1329,702,,M
1330,702,,M
1331,702,,M
1332,706,,F
1333,706,,M
1334,706,,M
1335,706,,F
1336,706,,F
1337,706,,F
1338,706,,M
1339,706,,M
1340,706,,M
1341,1031,,F
1342,1031,,F
1343,1031,,F
1344,708,,M
1345,708,,F
1346,708,,M
1347,708,,F
1348,709,,M
1349,711,,F
1350,711,,F
1351,711,,F
1352,711,,F
1353,711,,M
1354,906,,M
1355,906,,F
1356,906,,M
1357,906,,F
1358,906,,F
1359,906,,M
1360,714,,M
1361,714,,M
1362,714,,M
1363,1042,,F
1364,1042,,F
1365,1042,,F
1366,910,,M
1367,910,,F
1368,910,,M
1369,912,,F
1370,912,,M
1371,718,,M
1372,718,,M
1373,718,,M
1374,718,,F
1375,718,,F
1376,718,,M
1377,718,,F
1378,919,,M
1379,919,,F
1380,919,,F
1381,921,,M
1382,921,,M
1383,921,,F
1384,768,,F
1385,768,,F
1386,768,,F
1387,768,,F
1388,768,,M
1389,768,,F
1390,803,,F
1391,803,,F
1392,803,,F
1393,803,,M
1394,803,,M
1395,803,,M
1396,803,,M
1397,803,,M
1398,803,,M
1399,803,,M
1400,803,,F
1401,616,,M
1402,616,,F
1403,616,,F
1404,616,,F
1405,617,,M
1406,617,,M
1407,617,,M
1408,1025,,F
1409,1025,,M
1410,1025,,F
1411,1025,,M
1412,769,,F
1413,769,,M
1414,769,,M
1415,957,,M
1416,957,,M
1417,957,,M
1418,957,,F
1419,956,,M
1420,956,,M
1421,956,,M
1422,1013,,M
1423,1013,,M
1424,1013,,F
1425,1013,,M
1426,731,,M
1427,731,,F
1428,731,,M
1429,731,,M
1430,731,,M
1431,731,,M
1432,810,,M
1433,810,,M
1434,810,,M
1435,810,,M
1436,760,,F
1437,760,,F
1438,760,,M
1439,760,,M
1440,760,,M
1441,788,,M
1442,788,,M
1443,737,,M
1444,737,,M
1445,737,,M
1446,340,,M
1447,340,,F
1448,340,,M
1449,340,,M
1450,340,,M
1451,340,,F
1452,368,,M
1453,368,,F
1454,368,,F
1455,368,,M
1456,368,,F
1457,368,,M
1458,369,,F
1459,369,,F
1460,369,,M
1461,369,,M
1462,1047,,M
1463,1047,,F
1464,825,,M
1465,825,,M
1466,825,,M
1467,1075,,M
1468,1075,,M
1469,1087,,M
1470,1087,,M
1471,1087,,M
1500,,,F
1501,,,M
1502,,,M
1503,,,F
1504,,,M
1505,,,F
1506,,,M
1507,,,M
1508,,,M
1509,,,M
1510,,,M
1511,,,M
1512,,,M
1513,,,F
1514,,,M
1515,,,M
1516,,,M
1517,,,M
1518,,,F
1519,,,F
1520,,,F
1521,,,F
1522,,,M
1523,,,M
1524,,,M
1525,400,,M
1526,400,,M
1527,201,,M
1528,201,,F
1529,201,,M
1530,201,,M
1531,667,,F
1532,667,,M
1533,667,,F
1534,666,,M
1535,666,,F
1536,666,,F
1537,431,,F
1538,431,,F
1539,431,,M
1540,431,,F
1541,431,,M
1542,602,,F
1543,602,,F
1544,602,,F
1545,602,,M
1546,773,,F
1547,773,,M
1548,773,,M
1549,771,,M
1550,771,,F
1551,765,,F
1552,765,,F
1553,765,,M
1554,756,,M
1555,756,,M
1556,756,,F
1557,756,,M
1558,766,,M
1559,766,,M
1560,766,,F
1561,706,,M
1562,706,,M
1563,706,,M
1564,1031,,M
1565,1031,,F
1566,708,,F
1567,708,,M
1568,708,,F
1569,708,,F
1570,709,,F
1571,709,,F
1572,711,,M
1573,711,,F
1574,711,,M
1575,711,,M
1576,714,,M
1577,714,,M
1578,714,,F
1579,1042,,F
1580,1042,,F
1581,1042,,M
1582,910,,M
1583,910,,M
1584,910,,M
1585,912,,M
1586,912,,F
1587,1314,,F
1588,1314,,M
1589,1314,,F
1590,1328,,F
1591,1328,,M
1592,1328,,F
1593,1316,,M
1594,1316,,M
1595,1316,,F
1596,919,,F
1597,919,,F
1598,919,,M
1599,1358,,M
1600,1358,,F
1601,1358,,F
1602,1311,,F
1603,1311,,M
1604,1367,,F
1605,1367,,M
1606,1367,,F
1607,1304,,M
1608,1304,,F
1609,1304,,M
1610,1305,,M
1611,1305,,M
1612,1305,,F
1613,768,,F
1614,768,,F
1615,768,,M
1616,803,,F
1617,803,,M
1618,803,,F
1619,815,,M
1620,815,,M
1621,1025,,F
1622,1025,,F
1623,1025,,M
1624,1025,,M
1625,90,,M
1626,956,,F
1627,956,,F
1628,956,,F
1629,731,,M
1630,731,,M
1631,731,,F
1632,810,,F
1633,810,,M
1634,810,,F
1635,810,,F
1636,760,,F
1637,760,,F
1638,760,,M
1639,760,,M
1640,760,,M
1641,760,,F
1642,788,,M
1643,788,,F
1644,788,,M
1645,737,,F
1646,737,,F
1647,737,,F
1648,737,,F
1649,737,,F
1650,1296,,F
1651,1296,,F
1652,1296,,F
1653,1408,,F
1654,1408,,F
1655,1408,,F
1656,1412,,F
1657,1412,,F
1658,1412,,F
1659,1297,,M
1660,1297,,F
1661,1297,,F
1662,1297,,M
1663,1298,,F
1664,1298,,F
1665,1298,,F
1666,1298,,F
1667,1243,,M
1668,1243,,F
1669,1243,,F
1670,1243,,M
1671,1276,,F
1672,1276,,F
1673,1276,,F
1674,1385,,M
1675,1385,,F
1676,1385,,M
1677,1290,,M
1678,1290,,F
1679,1290,,M
1680,1255,,F
1681,1255,,M
1682,933,,M
1683,933,,M
1684,933,,M
1685,934,,F
1686,934,,F
1687,934,,F
1688,744,,M
1689,744,,F
1690,744,,M
1691,1380,,F
1692,1380,,M
1693,1380,,F
1694,1352,,F
1695,1352,,M
1696,1352,,F
1697,1352,,M
1698,1351,,F
1699,1351,,M
1700,1351,,M
1701,1351,,M
1702,749,,M
1703,749,,F
1704,749,,F
1705,749,,M
1706,340,,M
1707,1047,,F
1708,1047,,F
1709,1047,,F
1710,1075,,M
1711,1075,,F
1712,1075,,F
1713,1075,,F
1714,1458,,M
1715,1458,,M
1716,1458,,F
1800,,,F
1801,,,M
1802,,,M
1803,,,M
1804,,,M
1805,,,M
1806,,,F
1807,,,M
1808,,,M
1809,,,F
1810,,,M
1811,,,M
1812,,,F
1813,,,M
1814,,,M
1815,,,F
1816,,,F
1817,,,M
1818,,,F
1820,,,M
1821,,,M
1822,,,F
1823,,,M
1824,,,M
1825,,,M
1826,,,M
1827,,,M
1828,,,M
1829,,,M
1830,,,M
1831,,,M
1832,,,M
1833,,,M
1834,,,M
1835,,,F
1836,,,F
1837,,,M
1838,,,M
1839,,,M
1840,,,M
1841,,,M
1842,,,M
1843,,,F
1844,773,,F
1845,773,,F
1846,773,,F
1847,773,,F
1848,773,,F
1849,771,,M
1850,771,,M
1851,771,,M
1852,771,,F
1853,771,,M
1854,771,,F
1855,625,,F
1856,1201,,M
1857,1201,,M
1858,1201,,F
1859,1201,,M
1860,1201,,M
1861,1201,,F
1862,1201,,M
1863,1201,,F
1864,1202,,F
1865,1202,,F
1866,1202,,M
1867,1203,,M
1868,1203,,M
1869,1203,,F
1870,1203,,F
1871,1203,,F
1872,1203,,F
1873,1203,,M
1874,706,,F
1875,1042,,F
1876,1042,,F
1877,912,,M
1878,912,,F
1879,912,,M
1880,912,,M
1881,1314,,F
1882,1314,,M
1883,1314,,F
1884,919,,F
1885,919,,F
1886,1358,,M
1887,1358,,F
1888,1358,,M
1889,1358,,M
1890,1358,,M
1891,1345,,M
1892,1323,,F
1893,1323,,F
1894,1323,,F
1895,1357,,F
1896,1357,,M
1897,1357,,M
1898,1357,,F
1899,1357,,M
1900,1324,,M
1901,1324,,F
1902,1324,,M
1903,1324,,M
1904,1325,,F
1905,1325,,F
1906,1325,,M
1907,1350,,M
1908,1350,,M
1909,1377,,F
1910,1377,,F
1911,1335,,F
1912,1335,,F
1913,1335,,M
1914,1379,,M
1915,1379,,F
1916,1379,,F
1917,768,,F
1918,768,,M
1919,801,,F
1920,803,,F
1921,803,,F
1922,803,,F
1923,803,,F
1924,803,,M
1925,1025,,M
1926,1025,,F
1927,1025,,F
1928,810,,F
1929,810,,M
1930,760,,M
1931,760,,M
1932,760,,F
1933,788,,F
1934,788,,F
1935,737,,F
1936,1410,,F
1937,1265,,M
1938,1337,,M
1939,1337,,M
1940,1337,,F
1941,1337,,M
1942,1297,,F
1943,1297,,F
1944,1297,,M
1945,1297,,F
1946,1297,,F
1947,1298,,F
1948,1298,,F
1949,1298,,F
1950,1298,,F
1951,1243,,M
1952,1243,,M
1953,1243,,M
1954,1276,,M
1955,1276,,M
1956,1276,,M
1957,1276,,M
1958,1290,,F
1959,1290,,F
1960,1269,,F
1961,1269,,M
1962,1269,,M
1963,1269,,F
1964,1404,,F
1965,1404,,F
1966,1404,,M
1967,1404,,F
1968,1402,,M
1969,1402,,M
1970,1402,,M
1971,1613,,M
1972,1613,,F
1973,1613,,F
1974,1613,,M
1975,1614,,M
1976,1614,,M
1977,1614,,F
1978,1614,,F
1979,933,,F
1980,933,,M
1981,933,,M
1982,1239,,F
1983,1239,,F
1984,1239,,M
1985,1656,,M
1986,1656,,F
1987,1656,,F
1988,935,,F
1989,935,,M
1990,935,,F
1991,1669,,F
1992,1669,,F
1993,1223,,F
1994,1223,,F
1995,1223,,M
1996,1369,,F
1997,1643,,M
1998,1643,,F
1999,1643,,F
2000,1569,,M
2001,1569,,F
2002,1247,,F
2003,1247,,M
2004,1352,,M
2005,1352,,M
2006,1352,,M
2007,1352,,F
2008,1352,,F
2009,1580,,F
2010,1580,,F
2011,1235,,M
2012,1336,,M
2013,1336,,M
2014,1336,,F
2015,1327,,M
2016,1327,,F
2017,1327,,F
2018,1578,,F
2019,1578,,M
2020,1578,,F
2021,1578,,F
2022,1618,,F
2023,1618,,M
2024,1618,,F
2025,1355,,M
2026,1355,,M
2027,1355,,M
2028,1047,,M
2029,1047,,M
2030,1047,,F
2031,1047,,M
2032,1047,,F
2033,1047,,M
2034,1454,,F
2035,1454,,M
2036,1454,,M
2037,1454,,F
2100,,,F
2101,,,M
2102,,,F
2103,,,M
2104,,,M
2105,,,M
2106,,,F
2107,,,F
2108,,,M
2109,,,M
2110,,,M
2111,,,M
2112,,,M
2113,,,M
2114,,,F
2115,,,F
2116,,,F
2117,,,F
2118,,,F
2119,773,,F
2120,773,,F
2121,773,,F
2122,773,,M
2123,773,,M
2124,771,,F
2125,771,,M
2126,771,,M
2127,625,,F
2128,625,,M
2129,1201,,F
2130,1201,,F
2131,1201,,M
2132,1203,,F
2133,1203,,M
2134,1203,,M
2135,1203,,F
2136,1042,,M
2137,1042,,M
2138,1314,,M
