animal,dam,sire,Sex,BYEAR,DYEAR,Death.Type,LRS
2242,1239,,F,1996,1996,natural,0
2241,1239,,F,1996,1996,natural,0
2195,1265,,F,1996,1996,natural,0
2194,1265,,F,1996,1996,natural,0
2221,1276,,F,1996,1996,natural,0
2220,1276,,F,1996,1996,natural,0
2219,1276,,F,1996,1996,natural,0
2200,1297,,F,1996,1996,natural,0
2204,1297,,F,1996,1996,natural,0
2205,1297,,F,1996,1996,natural,0
2202,1297,,F,1996,1996,natural,0
2209,1298,,F,1996,1996,natural,0
2206,1298,,F,1996,1996,natural,0
2208,1298,,F,1996,1996,natural,0
2139,1314,,F,1996,1996,natural,0
2141,1314,,F,1996,1996,natural,0
2155,1323,,F,1996,1996,natural,0
2156,1323,,F,1996,1996,natural,0
2157,1323,,F,1996,1996,natural,0
2163,1324,,F,1996,1996,natural,0
2287,1327,,F,1996,1996,natural,0
2290,1327,,F,1996,1996,natural,0
2177,1335,,F,1996,1996,natural,0
2196,1337,,F,1996,1996,natural,0
2198,1337,,F,1996,1996,natural,0
2197,1337,,F,1996,1996,natural,0
2147,1345,,F,1996,1996,natural,0
2151,1345,,F,1996,1996,natural,0
2149,1345,,F,1996,1996,natural,0
2153,1345,,F,1996,1996,natural,0
2152,1345,,F,1996,1996,natural,0
2173,1350,,F,1996,1996,natural,0
2171,1350,,F,1996,1996,natural,0
2279,1352,,F,1996,1996,natural,0
2280,1352,,F,1996,1996,natural,0
2348,1355,,F,1996,1996,natural,0
2162,1357,,F,1996,1996,natural,0
2161,1367,,F,1996,1996,natural,0
2159,1367,,F,1996,1996,natural,0
2229,1402,,F,1996,1996,natural,0
2223,1404,,F,1996,1996,natural,0
2361,1458,,F,1996,1996,natural,0
2330,1518,,F,1996,1996,natural,0
2231,1613,,F,1996,1996,natural,0
2234,1613,,F,1996,1996,natural,0
2235,1613,,F,1996,1996,natural,0
2230,1613,,F,1996,1996,natural,0
2232,1613,,F,1996,1996,natural,0
2272,1643,,F,1996,1996,natural,0
2273,1643,,F,1996,1996,natural,0
2271,1643,,F,1996,1996,natural,0
2270,1643,,F,1996,1996,natural,0
2294,1875,,F,1996,1996,natural,0
2299,1876,,F,1996,1996,natural,0
2300,1876,,F,1996,1996,natural,0
2298,1876,,F,1996,1996,natural,0
2305,1883,,F,1996,1996,natural,0
2315,1884,,F,1996,1996,natural,0
2314,1884,,F,1996,1996,natural,0
2316,1884,,F,1996,1996,natural,0
2320,1894,,F,1996,1996,natural,0
2308,1904,,F,1996,1996,natural,0
2312,1905,,F,1996,1996,natural,0
2341,1923,,F,1996,1996,natural,0
2340,1923,,F,1996,1996,natural,0
2259,1926,,F,1996,1996,natural,0
2257,1926,,F,1996,1996,natural,0
2258,1926,,F,1996,1996,natural,0
2252,1942,,F,1996,1996,natural,0
2254,1942,,F,1996,1996,natural,0
2339,1947,,F,1996,1996,natural,0
2344,1949,,F,1996,1996,natural,0
2346,1949,,F,1996,1996,natural,0
2351,1965,,F,1996,1996,natural,0
2353,1965,,F,1996,1996,natural,0
2260,1983,,F,1996,1996,natural,0
2263,1988,,F,1996,1996,natural,0
2317,1999,,F,1996,1996,natural,0
2319,1999,,F,1996,1996,natural,0
2324,2001,,F,1996,1996,natural,0
2355,2014,,F,1996,1996,natural,0
2292,2016,,F,1996,1996,natural,0
2335,2017,,F,1996,1996,natural,0
2336,2017,,F,1996,1996,natural,0
2124,771,,F,1996,1997,natural,0
2175,1377,,F,1996,1997,natural,0
2323,2001,,F,1996,1997,natural,0
2146,919,,F,1996,1999,natural,0
2140,1314,,F,1996,2000,natural,0
2227,1402,,F,1996,2000,natural,0
2494,1276,,F,1997,2001,natural,18
2486,1265,,F,1997,2003,natural,19
2583,1809,,F,1997,2000,natural,10
2482,1410,,F,1997,1999,natural,7
2606,1923,,F,1997,1999,natural,7
2526,1926,,F,1997,2002,natural,13
2625,2014,,F,1997,2004,natural,17
2539,1643,,F,1997,1998,natural,4
2612,1822,,F,1997,1999,natural,6
2529,1983,,F,1997,1999,natural,6
2613,1822,,F,1997,1999,natural,5
2461,1345,,F,1997,2002,natural,10
2506,1402,,F,1997,2002,natural,10
2469,1324,,F,1997,1998,natural,3
2507,1613,,F,1997,1998,natural,3
2591,1816,,F,1997,2000,natural,6
2581,1847,,F,1997,2000,natural,6
2489,1243,,F,1997,2002,natural,9
2500,1276,,F,1997,1999,natural,4
2544,1569,,F,1997,2003,natural,9
2627,1047,,F,1997,2000,natural,5
2558,1336,,F,1997,2000,natural,5
2511,1614,,F,1997,2003,natural,8
2540,1643,,F,1997,1998,natural,3
2475,1335,,F,1997,1999,natural,3
2512,933,,F,1997,2000,natural,4
2590,1816,,F,1997,2000,natural,5
2553,1235,,F,1997,2000,natural,3
2458,919,,F,1997,2000,natural,2
2460,1345,,F,1997,1998,natural,0
2597,1520,,F,1997,1998,natural,0
2545,1569,,F,1997,1998,natural,0
